hcp_id,hcp_name,specialty_group,sub_specialty,affiliated_account_id,affiliated_hospital,region,territory,channel_preference,consent_status,preferred_language,digital_engagement_tier,speaker_potential_flag,publication_activity_level,first_seen_date,last_updated_date
HCP0014,Dr. Marvin Thomas Jr.,Immunology,Rheumatology,ACC012,Dudley Group,Southeast,T06,Email,Opted-out,English,Low,0,Low,2023-04-30,2026-02-12
HCP0015,Kimberly Burgess,Immunology,Rheumatology,ACC011,Blair PLC,South,T02,Rep Visit,Opted-out,English,Low,1,Low,2024-03-10,2026-03-09
HCP0016,Kevin Cox,Immunology,Rheumatology,ACC010,Abbott-Munoz,South,T04,Mixed,Opted-in,English,Medium,0,Low,2025-04-01,2026-05-19
HCP0017,Brenda Snyder PhD,Oncology,Breast Oncology,ACC003,"Mcclain, Miller and Henderson",Midwest,T06,Email,Opted-in,Spanish,High,0,Low,2024-11-06,2026-01-21
HCP0018,Brittany Moore,Oncology,Hematology Oncology,ACC001,"Rodriguez, Figueroa and Sanchez",West,T02,Email,Pending,English,Medium,0,High,2023-05-20,2026-01-11
HCP0019,Linda Cruz,Cardiology,Electrophysiology,ACC009,Garcia-James,South,T02,Virtual,Opted-out,English,High,1,Low,2023-06-28,2026-04-12
HCP0020,Julie King,Oncology,Breast Oncology,ACC008,"Henderson, Ramirez and Lewis",Midwest,T01,Mixed,Opted-out,English,Low,1,High,2025-02-27,2026-01-26
HCP0021,Terri Frazier,Oncology,Breast Oncology,ACC006,"Gardner, Robinson and Lawrence",Southeast,T04,Virtual,Opted-in,English,Low,0,Medium,2023-08-07,2026-02-10
HCP0022,Stephen Potter,Immunology,Gastroenterology,ACC003,"Mcclain, Miller and Henderson",Midwest,T06,Email,Pending,English,High,0,Low,2023-06-26,2026-01-30
HCP0023,Gina Carter,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",West,T01,Rep Visit,Opted-out,English,High,0,High,2023-12-04,2026-02-22
HCP0024,Aaron Bowen,Cardiology,Interventional Cardiology,ACC012,Dudley Group,Midwest,T06,Mixed,Opted-out,English,Low,1,Medium,2022-04-01,2026-01-01
HCP0025,Valerie Gill,Immunology,Dermatology,ACC001,"Rodriguez, Figueroa and Sanchez",Midwest,T02,Rep Visit,Pending,Spanish,High,1,High,2022-01-20,2026-01-29
HCP0026,Ashley Garrett,Oncology,Breast Oncology,ACC012,Dudley Group,Southeast,T06,Email,Opted-out,English,Medium,0,Low,2023-09-24,2026-04-04
HCP0027,Katie Gonzalez,Oncology,Thoracic Oncology,ACC004,Davis and Sons,Southeast,T06,Rep Visit,Pending,English,Medium,1,High,2022-11-13,2026-03-02
HCP0028,Christopher Ashley,Oncology,Hematology Oncology,ACC002,Doyle Ltd,South,T01,Email,Opted-in,English,Medium,0,Medium,2022-11-23,2026-01-28
HCP0029,Tamara George,Immunology,Dermatology,ACC004,Davis and Sons,South,T06,Rep Visit,Opted-in,Spanish,Medium,1,Low,2023-04-02,2026-01-07
HCP0030,Brian Cox DVM,Cardiology,Electrophysiology,ACC002,Doyle Ltd,South,T01,Virtual,Opted-out,English,Medium,1,High,2024-11-09,2026-04-13
HCP0031,Cynthia Allen,Cardiology,Interventional Cardiology,ACC006,"Gardner, Robinson and Lawrence",Midwest,T04,Email,Opted-in,English,Low,1,Low,2022-08-11,2026-04-22
HCP0032,Angela Dennis,Immunology,Gastroenterology,ACC001,"Rodriguez, Figueroa and Sanchez",Midwest,T02,Mixed,Pending,English,Medium,0,Medium,2022-04-01,2026-04-22
HCP0033,Vanessa Patel,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",West,T01,Rep Visit,Opted-out,Spanish,Low,1,High,2023-10-05,2026-02-01
HCP0034,Matthew Arroyo,Cardiology,Heart Failure,ACC004,Davis and Sons,West,T06,Virtual,Pending,Spanish,Medium,1,High,2023-08-29,2026-02-02
HCP0035,Joseph Obrien,Oncology,Thoracic Oncology,ACC003,"Mcclain, Miller and Henderson",South,T06,Rep Visit,Pending,English,Medium,0,Medium,2023-08-11,2026-02-23
HCP0036,Tanya Campos,Immunology,Gastroenterology,ACC004,Davis and Sons,West,T06,Virtual,Opted-out,Spanish,Medium,0,High,2024-08-27,2026-02-13
HCP0037,Michelle Ross,Cardiology,Electrophysiology,ACC006,"Gardner, Robinson and Lawrence",Midwest,T04,Virtual,Opted-in,English,High,1,Low,2023-02-12,2026-02-07
HCP0038,Jacqueline Lam,Oncology,Hematology Oncology,ACC005,"Guzman, Hoffman and Baldwin",Southeast,T01,Mixed,Pending,English,Medium,1,High,2025-03-24,2026-02-19
HCP0039,David Brown,Cardiology,Interventional Cardiology,ACC005,"Guzman, Hoffman and Baldwin",South,T01,Mixed,Opted-out,English,Low,0,Low,2024-05-20,2026-02-26
HCP0040,Julian Chapman,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",West,T01,Mixed,Opted-in,English,Low,1,Low,2024-08-09,2026-05-16
HCP0041,Michael Brown,Cardiology,Interventional Cardiology,ACC002,Doyle Ltd,Midwest,T01,Mixed,Pending,Spanish,High,1,Low,2024-08-30,2026-04-26
HCP0042,Andre Rivera,Immunology,Dermatology,ACC004,Davis and Sons,Midwest,T06,Mixed,Pending,English,Medium,1,Low,2023-08-09,2026-03-02
HCP0043,Diana Washington,Immunology,Rheumatology,ACC007,Blake and Sons,Midwest,T02,Email,Opted-in,English,Low,1,High,2022-11-09,2026-02-24
HCP0044,Miranda Khan,Oncology,Thoracic Oncology,ACC011,Blair PLC,South,T02,Virtual,Pending,Spanish,Medium,0,Low,2024-05-10,2026-04-10
HCP0045,Dana Kennedy,Cardiology,Interventional Cardiology,ACC009,Garcia-James,Northeast,T02,Mixed,Opted-out,English,Medium,1,Medium,2024-05-08,2026-05-18
HCP0046,Brandon Hopkins,Cardiology,Interventional Cardiology,ACC004,Davis and Sons,West,T06,Rep Visit,Opted-out,English,Medium,1,Medium,2022-03-01,2026-04-10
HCP0047,Jason Shields,Immunology,Gastroenterology,ACC010,Abbott-Munoz,South,T04,Rep Visit,Opted-out,English,High,0,Medium,2025-03-01,2026-01-07
HCP0048,Matthew Lucas,Oncology,Breast Oncology,ACC010,Abbott-Munoz,South,T04,Rep Visit,Opted-out,English,Low,1,Medium,2023-11-02,2026-02-24
HCP0049,Nicholas Mcbride,Immunology,Rheumatology,ACC004,Davis and Sons,Midwest,T06,Mixed,Opted-out,Spanish,Medium,0,Medium,2022-02-09,2026-05-19
HCP0050,Corey Herrera,Oncology,Thoracic Oncology,ACC008,"Henderson, Ramirez and Lewis",Southeast,T01,Email,Pending,English,Low,0,Low,2022-02-11,2026-02-09
